Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
Egypt,710,656,609,576,536,495,456,402,366,327,294,285,256,196,196,150,110,109,80,67,60,59,55,49,15,15,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,694,630,547,506,458,382,346,316,266,233,214,208,192,164,154,124,116,110,101,71,71,71,60,60,54,40,35,35,32,26,19,13,7,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,664,611,570,468,405,333,333,248,198,153,153,140,140,113,98,98,98,85,85,85,74,74,45,45,45,29,29,27,27,21,21,21,19,13,13,13,13,13,13,9,9,9,9,9,9,8,8,8,8,8,8,7,7,5,5,5,5,5,5,4,4,4,4,0,0,0,0,0,0,0
New Zealand,647,589,514,451,368,283,205,155,102,102,52,39,28,20,12,8,8,6,5,5,5,5,5,5,5,4,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,645,548,475,356,310,196,145,97,73,73,47,29,16,14,14,7,3,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,617,556,479,402,345,275,225,170,143,115,96,77,63,49,38,29,28,17,7,6,5,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,567,515,499,476,466,458,419,392,377,334,305,285,278,256,228,214,214,210,195,195,195,110,95,85,85,60,55,52,49,49,47,41,36,33,33,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,537,491,460,394,358,299,274,209,179,143,83,49,36,27,25,17,12,8,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,532,482,424,407,329,290,265,249,235,194,160,136,115,84,78,52,26,18,8,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,492,447,408,343,300,261,226,187,167,131,103,85,73,58,50,39,32,30,19,13,13,9,9,7,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,470,446,438,412,391,368,333,318,267,248,187,163,157,133,120,110,110,93,77,61,61,41,32,32,22,22,16,13,13,13,10,4,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,420,368,323,258,237,191,176,166,136,126,93,89,63,38,26,25,24,18,13,11,7,5,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,399,359,346,331,293,264,242,218,201,187,163,127,94,92,67,52,51,41,23,7,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,398,376,347,305,280,244,221,197,180,139,124,111,86,71,49,34,30,26,17,10,10,8,6,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,394,312,312,278,227,197,173,114,89,75,60,54,39,29,24,20,18,18,16,7,7,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,376,370,334,308,267,224,188,164,133,113,88,75,53,39,39,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,363,336,314,292,269,226,216,204,186,185,178,137,123,105,72,63,54,44,32,16,10,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,353,298,263,231,199,177,149,125,109,94,80,66,49,30,30,23,23,12,6,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,347,330,314,295,263,231,201,177,158,134,117,89,69,50,41,35,27,26,23,22,13,9,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,343,302,284,228,150,111,81,72,62,60,53,49,44,35,33,10,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,338,310,304,274,238,217,189,162,162,158,110,94,79,50,29,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,329,285,259,241,219,201,177,148,136,115,85,67,48,35,26,18,14,14,14,7,7,7,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan*,322,306,298,283,267,252,235,215,195,169,153,135,108,100,77,67,59,53,50,49,48,47,45,45,45,45,44,42,42,41,40,39,34,32,32,31,30,28,26,26,24,23,22,22,20,18,18,18,18,18,18,18,17,16,16,11,11,10,10,10,10,9,8,8,5,4,3,3,1,1
Azerbaijan,298,273,209,182,165,122,93,87,72,65,53,44,44,28,28,28,23,15,15,11,11,11,9,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,289,266,255,235,225,208,195,191,189,188,176,159,148,142,130,123,112,104,80,80,72,69,64,64,61,58,58,56,56,56,45,45,45,43,26,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,274,268,259,246,235,212,172,154,127,112,85,85,69,52,34,17,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,262,230,214,179,162,146,132,124,116,95,84,67,67,49,46,33,26,26,14,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,261,246,222,207,180,152,146,114,99,75,64,40,33,20,15,15,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
